order_id,user_id,order_date,revenue,status
1087,3177,2023-01-05,470.67,Completed
1339,681,2023-01-06,10.01,Completed
2005,4969,2023-01-07,43.14,Completed
4072,431,2023-01-07,50.37,Completed
9846,2653,2023-01-08,45.08,Completed
11845,3789,2023-01-11,148.32,Completed
5908,1471,2023-01-12,14.14,Completed
5622,1190,2023-01-13,47.51,Refunded
1035,463,2023-01-13,20.7,Completed
3393,1455,2023-01-14,66.0,Completed
2066,224,2023-01-15,22.63,Completed
3349,3193,2023-01-15,13.01,Completed
2476,4969,2023-01-16,81.7,Completed
11494,2830,2023-01-16,15.64,Completed
1608,1464,2023-01-16,17.57,Completed
11552,4762,2023-01-18,76.57,Completed
2807,1606,2023-01-18,111.02,Completed
5067,3789,2023-01-19,51.64,Completed
2797,711,2023-01-19,14.65,Completed
2099,609,2023-01-20,53.08,Completed
8372,3848,2023-01-20,31.91,Completed
9969,4190,2023-01-20,26.06,Refunded
5051,1681,2023-01-22,44.73,Completed
4848,4588,2023-01-22,272.77,Completed
9282,3511,2023-01-22,51.95,Completed
10550,4654,2023-01-22,90.14,Completed
9110,2619,2023-01-23,43.98,Completed
6122,2600,2023-01-23,87.04,Completed
5973,1180,2023-01-24,25.97,Completed
11765,829,2023-01-24,14.31,Refunded
7803,711,2023-01-25,23.97,Completed
11018,4883,2023-01-26,5.47,Completed
11577,4556,2023-01-26,16.13,Completed
3781,4997,2023-01-27,54.89,Completed
1897,2495,2023-01-27,37.03,Completed
5014,4079,2023-01-27,15.83,Completed
3269,3892,2023-01-28,14.59,Completed
9320,14,2023-01-28,27.61,Completed
7307,734,2023-01-28,12.12,Completed
1609,4544,2023-01-29,19.85,Completed
2855,3,2023-01-29,72.32,Completed
9566,3892,2023-01-29,16.43,Completed
9880,1912,2023-01-29,54.97,Completed
9416,4301,2023-01-30,62.97,Completed
6956,2925,2023-01-30,23.19,Completed
9838,4245,2023-01-30,19.35,Completed
7438,4575,2023-01-30,45.71,Refunded
4199,4654,2023-01-30,150.84,Completed
5865,2782,2023-01-30,108.48,Completed
4632,3034,2023-01-31,17.54,Completed
12552,2135,2023-02-01,55.55,Cancelled
9589,1613,2023-02-02,22.39,Completed
7986,4826,2023-02-02,62.38,Completed
2890,4956,2023-02-02,56.81,Completed
3282,4044,2023-02-02,48.21,Completed
2943,3112,2023-02-03,8.69,Completed
7984,2231,2023-02-03,50.44,Refunded
9751,1912,2023-02-03,60.14,Completed
11763,4183,2023-02-03,60.61,Completed
6654,4070,2023-02-03,120.49,Cancelled
1145,4969,2023-02-03,73.73,Cancelled
5076,4619,2023-02-03,10.36,Completed
4580,4619,2023-02-03,16.2,Completed
12593,4573,2023-02-04,74.82,Completed
6454,4442,2023-02-04,10.72,Completed
10189,3690,2023-02-04,7.35,Completed
7187,4942,2023-02-04,40.46,Completed
6038,3193,2023-02-05,12.34,Completed
11970,4141,2023-02-05,29.22,Completed
7850,1319,2023-02-05,24.73,Completed
11436,2691,2023-02-06,11.17,Completed
12154,741,2023-02-06,7.24,Completed
12644,4969,2023-02-06,50.91,Refunded
5247,4902,2023-02-06,17.19,Completed
8134,4070,2023-02-06,4.88,Refunded
6068,829,2023-02-06,115.77,Completed
5496,4301,2023-02-07,9.63,Completed
7055,829,2023-02-07,31.99,Completed
1661,1214,2023-02-07,22.29,Completed
9610,4055,2023-02-07,18.18,Completed
4349,4997,2023-02-07,79.68,Completed
3270,1263,2023-02-08,17.8,Completed
7219,3914,2023-02-08,14.1,Completed
12327,2826,2023-02-08,37.59,Completed
9221,4495,2023-02-09,107.09,Completed
3730,3875,2023-02-09,16.2,Refunded
7583,3892,2023-02-09,85.4,Completed
1417,4240,2023-02-09,72.05,Cancelled
6731,1496,2023-02-09,31.81,Cancelled
3451,4542,2023-02-09,46.23,Completed
1338,2628,2023-02-10,57.86,Completed
11825,3228,2023-02-10,9.76,Completed
2961,1455,2023-02-11,45.92,Completed
8439,3193,2023-02-11,42.69,Completed
6599,4403,2023-02-11,15.87,Completed
2709,1145,2023-02-11,14.3,Completed
3519,1028,2023-02-12,3.81,Refunded
1240,3603,2023-02-12,72.42,Completed
6917,2330,2023-02-13,94.44,Completed
2012,1892,2023-02-13,17.11,Refunded
9363,977,2023-02-13,34.13,Completed
6883,1203,2023-02-13,25.9,Cancelled
4568,648,2023-02-14,9.2,Completed
1945,4914,2023-02-14,73.46,Completed
7779,2172,2023-02-14,50.93,Completed
5472,1613,2023-02-14,114.74,Completed
1202,2033,2023-02-15,41.38,Refunded
2897,1667,2023-02-15,94.84,Refunded
4475,590,2023-02-15,60.0,Refunded
8209,49,2023-02-15,85.97,Completed
3073,4517,2023-02-15,27.51,Completed
11535,1573,2023-02-15,17.36,Completed
12299,4135,2023-02-15,17.92,Completed
8107,2772,2023-02-15,55.52,Completed
9785,2076,2023-02-15,40.61,Refunded
11841,1496,2023-02-16,29.14,Completed
5449,1028,2023-02-16,62.68,Completed
6007,4540,2023-02-16,42.87,Completed
5331,4544,2023-02-16,72.02,Completed
3868,2600,2023-02-16,45.39,Completed
1809,4490,2023-02-16,12.2,Completed
5336,133,2023-02-16,40.16,Completed
5584,1818,2023-02-17,15.22,Completed
10876,64,2023-02-17,21.16,Completed
4033,4110,2023-02-17,57.64,Refunded
3951,1028,2023-02-17,31.84,Completed
1089,2969,2023-02-17,46.66,Completed
1694,1875,2023-02-17,169.33,Completed
2079,1479,2023-02-18,44.97,Refunded
2213,2484,2023-02-18,89.78,Completed
12547,231,2023-02-18,66.89,Completed
5304,2052,2023-02-18,18.81,Cancelled
2501,3870,2023-02-18,50.83,Completed
6203,3,2023-02-18,73.85,Refunded
8475,1446,2023-02-19,28.5,Completed
4614,938,2023-02-19,31.76,Completed
7666,2795,2023-02-19,22.42,Cancelled
8316,4269,2023-02-19,28.63,Completed
11170,3969,2023-02-19,54.28,Completed
12755,4050,2023-02-19,49.39,Completed
9468,2076,2023-02-19,68.75,Completed
2716,2878,2023-02-19,17.16,Completed
12791,420,2023-02-20,10.88,Completed
12233,3009,2023-02-20,14.33,Completed
7530,1471,2023-02-20,4.53,Completed
8307,4894,2023-02-21,52.6,Completed
8304,2359,2023-02-21,91.11,Completed
8730,3358,2023-02-21,12.81,Completed
1706,103,2023-02-21,18.32,Refunded
1280,4556,2023-02-21,114.14,Completed
8896,1372,2023-02-21,17.59,Completed
2575,1372,2023-02-22,74.91,Refunded
9518,4358,2023-02-22,5.95,Completed
2841,4813,2023-02-22,105.1,Completed
11541,4468,2023-02-22,119.45,Completed
9608,2878,2023-02-22,7.65,Completed
9921,3422,2023-02-22,26.77,Completed
11377,1734,2023-02-23,5.37,Completed
12920,195,2023-02-23,26.64,Completed
2180,1072,2023-02-23,5.4,Completed
7078,2425,2023-02-23,68.45,Completed
3477,858,2023-02-23,8.2,Completed
12420,4299,2023-02-23,49.34,Completed
7186,1556,2023-02-23,7.97,Completed
7566,1319,2023-02-23,9.57,Completed
3843,1292,2023-02-23,12.8,Completed
3629,4924,2023-02-23,174.95,Completed
2710,4290,2023-02-24,86.43,Completed
1829,1613,2023-02-24,18.41,Completed
3497,2121,2023-02-24,80.48,Completed
12960,3860,2023-02-24,32.99,Completed
7433,4056,2023-02-24,20.81,Completed
12575,2112,2023-02-24,141.39,Completed
2765,4588,2023-02-24,61.67,Completed
1215,3008,2023-02-24,149.77,Completed
3886,2081,2023-02-24,46.16,Completed
11403,583,2023-02-24,37.35,Refunded
8540,4757,2023-02-25,65.64,Completed
8528,2081,2023-02-25,226.98,Refunded
4277,3020,2023-02-25,23.01,Completed
4678,1952,2023-02-25,72.95,Refunded
7233,4590,2023-02-26,4.16,Completed
4173,1112,2023-02-26,107.26,Completed
5733,711,2023-02-26,29.46,Completed
1560,4079,2023-02-26,57.8,Completed
4581,2735,2023-02-27,29.24,Completed
1941,4372,2023-02-27,30.39,Completed
12958,4357,2023-02-27,202.73,Completed
4508,2305,2023-02-27,22.28,Completed
5558,489,2023-02-27,4.56,Completed
12893,4891,2023-02-27,41.05,Completed
4063,3789,2023-02-27,61.25,Cancelled
5377,505,2023-02-27,15.61,Completed
11514,4372,2023-02-28,10.61,Completed
8332,3039,2023-02-28,12.48,Completed
10304,2830,2023-02-28,96.74,Completed
12983,3830,2023-02-28,106.79,Completed
3652,1343,2023-02-28,62.94,Completed
10984,3075,2023-02-28,10.96,Refunded
12296,4924,2023-02-28,78.88,Completed
4162,2033,2023-02-28,20.78,Completed
3391,4433,2023-02-28,30.52,Completed
1566,1421,2023-02-28,43.07,Completed
7228,4348,2023-02-28,46.89,Completed
4713,1464,2023-02-28,63.59,Completed
1950,1039,2023-02-28,63.72,Completed
5511,4340,2023-02-28,35.73,Completed
7348,4052,2023-02-28,38.86,Completed
7489,4301,2023-03-01,36.83,Completed
6087,4902,2023-03-01,18.95,Completed
10302,4395,2023-03-01,212.88,Completed
6440,4240,2023-03-01,156.87,Completed
12453,3983,2023-03-01,8.13,Refunded
6274,431,2023-03-01,26.48,Completed
10180,910,2023-03-01,45.17,Completed
2938,1388,2023-03-01,40.33,Cancelled
3550,1698,2023-03-01,28.33,Completed
8152,163,2023-03-01,36.67,Completed
