user_id,country,acquisition_channel,registration_date
1,US,Paid Social,2023-11-24
2,DE,Paid Social,2023-02-27
3,CA,Email,2023-01-13
4,UK,Paid Social,2023-05-21
5,US,Email,2023-05-06
6,US,Organic Search,2023-04-25
7,US,Direct,2023-03-13
8,DE,Email,2023-02-22
9,CA,Organic Search,2023-12-13
10,CA,Paid Social,2023-10-07
11,US,Organic Search,2023-02-14
12,DE,Direct,2023-10-30
13,AU,Paid Social,2023-08-05
14,US,Paid Social,2023-01-17
15,US,Organic Search,2023-01-16
16,US,Organic Search,2023-02-17
17,US,Organic Search,2023-04-22
18,UK,Paid Social,2023-04-30
19,UK,Paid Social,2023-09-16
20,US,Email,2023-11-05
21,CA,Paid Social,2023-01-14
22,US,Paid Social,2023-10-15
23,US,Referral,2023-04-12
24,US,Direct,2023-11-29
25,UK,Email,2023-12-26
26,AU,Paid Social,2023-10-07
27,US,Organic Search,2023-08-03
28,UK,Organic Search,2023-04-23
29,UK,Direct,2023-08-18
30,US,Organic Search,2023-10-29
31,CA,Paid Social,2023-05-23
32,US,Paid Social,2023-01-04
33,US,Paid Social,2023-03-23
34,DE,Paid Social,2023-12-24
35,DE,Organic Search,2023-08-05
36,AU,Paid Social,2023-06-24
37,US,Paid Social,2023-05-23
38,US,Referral,2023-03-21
39,CA,Direct,2023-04-21
40,UK,Email,2023-06-22
41,US,Direct,2023-02-22
42,UK,Paid Social,2023-02-17
43,US,Organic Search,2023-07-14
44,DE,Paid Social,2023-02-19
45,US,Paid Social,2023-07-03
46,CA,Paid Social,2023-06-26
47,US,Paid Social,2023-11-06
48,UK,Paid Social,2023-05-16
49,UK,Paid Social,2023-01-23
50,US,Paid Social,2023-08-24
51,DE,Organic Search,2023-10-02
52,AU,Email,2023-03-05
53,DE,Organic Search,2023-07-13
54,DE,Organic Search,2023-02-10
55,UK,Paid Social,2023-10-10
56,DE,Paid Social,2023-05-31
57,US,Paid Social,2023-11-18
58,US,Organic Search,2023-11-13
59,US,Paid Social,2023-07-05
60,US,Paid Social,2023-10-23
61,US,Email,2023-04-09
62,US,Email,2023-12-27
63,AU,Paid Social,2023-02-05
64,US,Paid Social,2023-01-24
65,US,Direct,2023-12-05
66,UK,Organic Search,2023-04-27
67,US,Paid Social,2023-05-29
68,AU,Paid Social,2023-02-10
69,US,Email,2023-04-30
70,DE,Organic Search,2023-02-21
71,AU,Paid Social,2023-07-14
72,US,Direct,2023-05-23
73,US,Paid Social,2023-08-21
74,AU,Organic Search,2023-11-22
75,CA,Referral,2023-07-06
76,CA,Paid Social,2023-03-25
77,AU,Paid Social,2023-07-09
78,US,Organic Search,2023-07-01
79,US,Paid Social,2023-04-18
80,US,Paid Social,2023-12-10
81,DE,Organic Search,2023-05-17
82,CA,Organic Search,2023-12-26
83,US,Email,2023-12-16
84,US,Organic Search,2023-11-28
85,US,Organic Search,2023-02-06
86,US,Paid Social,2023-11-08
87,CA,Direct,2023-11-22
88,CA,Organic Search,2023-03-29
89,DE,Paid Social,2023-10-01
90,UK,Organic Search,2023-05-06
91,US,Organic Search,2023-03-25
92,CA,Organic Search,2023-08-25
93,AU,Email,2023-07-14
94,UK,Organic Search,2023-05-19
95,AU,Organic Search,2023-11-24
96,UK,Paid Social,2023-12-19
97,UK,Email,2023-10-13
98,UK,Organic Search,2023-04-23
99,US,Paid Social,2023-12-17
100,US,Organic Search,2023-06-16
101,US,Paid Social,2023-01-29
102,CA,Paid Social,2023-04-28
103,US,Paid Social,2023-01-17
104,UK,Paid Social,2023-06-11
105,DE,Paid Social,2023-07-25
106,US,Organic Search,2023-05-18
107,UK,Paid Social,2023-02-03
108,AU,Organic Search,2023-04-19
109,US,Direct,2023-10-18
110,US,Referral,2023-06-11
111,US,Referral,2023-04-19
112,US,Email,2023-12-02
113,DE,Paid Social,2023-09-13
114,AU,Direct,2023-07-22
115,CA,Organic Search,2023-11-26
116,DE,Paid Social,2023-08-23
117,AU,Paid Social,2023-03-15
118,US,Paid Social,2023-05-16
119,DE,Direct,2023-03-13
120,UK,Organic Search,2023-05-07
121,AU,Paid Social,2023-10-15
122,DE,Email,2023-10-03
123,US,Organic Search,2023-05-15
124,US,Paid Social,2023-10-27
125,US,Email,2023-08-08
126,UK,Paid Social,2023-10-26
127,AU,Paid Social,2023-07-24
128,DE,Organic Search,2023-07-05
129,US,Paid Social,2023-04-23
130,UK,Email,2023-03-12
131,UK,Paid Social,2023-09-18
132,US,Paid Social,2023-09-10
133,US,Organic Search,2023-02-16
134,US,Organic Search,2023-01-25
135,DE,Referral,2023-02-26
136,US,Paid Social,2023-03-20
137,UK,Paid Social,2023-11-18
138,CA,Organic Search,2023-03-23
139,US,Paid Social,2023-12-15
140,DE,Email,2023-08-05
141,DE,Paid Social,2023-11-02
142,US,Organic Search,2023-02-02
143,UK,Paid Social,2023-07-17
144,US,Direct,2023-07-15
145,US,Paid Social,2023-11-02
146,US,Email,2023-08-28
147,CA,Paid Social,2023-09-28
148,UK,Email,2023-05-09
149,US,Paid Social,2023-10-11
150,US,Organic Search,2023-01-06
151,DE,Paid Social,2023-12-15
152,US,Organic Search,2023-02-28
153,US,Email,2023-12-16
154,UK,Direct,2023-10-02
155,DE,Paid Social,2023-05-17
156,US,Paid Social,2023-11-25
157,CA,Organic Search,2023-06-24
158,AU,Direct,2023-02-27
159,US,Paid Social,2023-05-31
160,CA,Organic Search,2023-08-11
161,US,Paid Social,2023-03-22
162,CA,Organic Search,2023-08-21
163,CA,Paid Social,2023-01-02
164,UK,Paid Social,2023-05-15
165,US,Organic Search,2023-09-14
166,AU,Referral,2023-04-02
167,US,Organic Search,2023-09-17
168,US,Organic Search,2023-02-24
169,US,Organic Search,2023-11-17
170,UK,Direct,2023-06-02
171,CA,Paid Social,2023-11-24
172,US,Paid Social,2023-09-17
173,UK,Organic Search,2023-11-08
174,US,Organic Search,2023-04-12
175,CA,Paid Social,2023-03-20
176,US,Email,2023-07-11
177,CA,Email,2023-03-24
178,US,Organic Search,2023-10-04
179,DE,Paid Social,2023-09-29
180,US,Email,2023-01-01
181,US,Paid Social,2023-11-03
182,US,Email,2023-06-15
183,DE,Organic Search,2023-09-08
184,DE,Email,2023-01-10
185,US,Direct,2023-02-27
186,CA,Email,2023-07-05
187,AU,Paid Social,2023-06-07
188,UK,Paid Social,2023-05-03
189,UK,Email,2023-01-30
190,US,Organic Search,2023-05-04
191,US,Paid Social,2023-10-18
192,DE,Direct,2023-02-10
193,DE,Direct,2023-02-13
194,CA,Email,2023-09-06
195,US,Organic Search,2023-02-05
196,US,Direct,2023-09-30
197,CA,Direct,2023-03-06
198,DE,Organic Search,2023-03-07
199,DE,Paid Social,2023-12-04
200,AU,Organic Search,2023-09-01
201,CA,Paid Social,2023-10-09
202,US,Referral,2023-03-26
203,US,Paid Social,2023-05-16
204,DE,Direct,2023-09-28
205,CA,Referral,2023-11-07
206,US,Paid Social,2023-08-05
207,US,Email,2023-04-19
208,CA,Paid Social,2023-10-04
209,US,Email,2023-12-20
210,US,Organic Search,2023-04-13
211,UK,Email,2023-06-09
212,CA,Organic Search,2023-07-24
213,CA,Paid Social,2023-12-10
214,US,Direct,2023-11-29
215,CA,Paid Social,2023-07-11
216,US,Paid Social,2023-08-13
217,US,Paid Social,2023-09-22
218,CA,Direct,2023-08-20
219,CA,Organic Search,2023-03-03
220,AU,Organic Search,2023-05-07
221,CA,Organic Search,2023-04-26
222,UK,Paid Social,2023-02-02
223,US,Organic Search,2023-06-23
224,US,Paid Social,2023-01-11
225,US,Paid Social,2023-10-29
226,US,Organic Search,2023-10-11
227,DE,Paid Social,2023-04-28
228,US,Email,2023-10-29
229,DE,Organic Search,2023-04-23
230,CA,Paid Social,2023-01-04
231,AU,Paid Social,2023-02-06
232,UK,Paid Social,2023-12-29
233,UK,Direct,2023-11-20
234,UK,Paid Social,2023-01-31
235,US,Paid Social,2023-04-28
236,CA,Organic Search,2023-02-04
237,US,Paid Social,2023-01-17
238,US,Paid Social,2023-06-19
239,CA,Organic Search,2023-02-06
240,US,Paid Social,2023-09-21
241,DE,Referral,2023-05-02
242,DE,Paid Social,2023-05-23
243,DE,Paid Social,2023-12-09
244,US,Email,2023-09-06
245,US,Direct,2023-04-20
246,DE,Paid Social,2023-10-04
247,UK,Direct,2023-03-09
248,DE,Email,2023-10-20
249,DE,Paid Social,2023-10-23
250,DE,Paid Social,2023-08-31
251,US,Paid Social,2023-05-05
252,US,Referral,2023-08-31
253,DE,Paid Social,2023-07-28
254,US,Organic Search,2023-04-08
255,US,Email,2023-02-18
256,UK,Paid Social,2023-02-19
257,DE,Organic Search,2023-12-04
258,CA,Paid Social,2023-08-09
259,UK,Paid Social,2023-07-01
260,US,Email,2023-08-05
261,CA,Organic Search,2023-07-30
262,DE,Email,2023-08-28
263,US,Paid Social,2023-01-28
264,UK,Organic Search,2023-12-11
265,DE,Referral,2023-12-01
266,CA,Paid Social,2023-11-27
267,CA,Organic Search,2023-02-20
268,CA,Paid Social,2023-02-01
269,US,Email,2023-07-26
270,US,Paid Social,2023-06-23
271,AU,Organic Search,2023-02-25
272,AU,Organic Search,2023-05-08
273,DE,Organic Search,2023-04-09
274,DE,Direct,2023-04-08
