user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_name
90,347,1,4.9,2,1,1,211,Засыпающие
548,220,1,5.33,3,1,1,311,Засыпающие
1441,367,1,5.58,2,1,1,211,Засыпающие
4657,269,1,5.99,3,1,1,311,Засыпающие
1010,430,1,6.11,1,1,1,111,Потерянные
3157,162,1,6.25,4,1,1,411,Обычные клиенты
1122,123,1,7.29,5,1,1,511,Новички
1703,160,1,7.55,4,1,1,411,Обычные клиенты
3552,297,1,7.74,2,1,1,211,Засыпающие
3144,436,1,7.84,1,1,1,111,Потерянные
2250,584,1,8.1,1,1,1,111,Потерянные
3642,329,1,8.45,2,1,1,211,Засыпающие
181,171,2,9.08,4,2,1,421,Потенциальные лоялисты
981,105,1,9.59,5,1,1,511,Новички
3504,205,1,10.16,4,1,1,411,Обычные клиенты
3920,386,1,10.18,1,1,1,111,Потерянные
2739,195,1,10.34,4,1,1,411,Обычные клиенты
143,210,1,10.43,4,1,1,411,Обычные клиенты
749,156,1,10.75,4,1,1,411,Обычные клиенты
2865,292,1,11.41,3,1,1,311,Засыпающие
1829,316,1,11.48,2,1,1,211,Засыпающие
2037,153,1,11.51,4,1,1,411,Обычные клиенты
4361,45,1,11.58,5,1,1,511,Новички
822,337,1,11.62,2,1,1,211,Засыпающие
2916,499,1,11.68,1,1,1,111,Потерянные
13,248,1,11.91,3,1,1,311,Засыпающие
973,551,1,11.93,1,1,1,111,Потерянные
2193,248,2,12.0,3,1,1,311,Засыпающие
2431,576,1,12.3,1,1,1,111,Потерянные
772,557,1,12.31,1,1,1,111,Потерянные
513,359,1,12.38,2,1,1,211,Засыпающие
478,210,1,12.46,4,1,1,411,Обычные клиенты
1324,213,1,12.55,4,1,1,411,Обычные клиенты
3918,573,1,12.57,1,1,1,111,Потерянные
4567,419,1,12.61,1,1,1,111,Потерянные
3366,324,1,12.7,2,1,1,211,Засыпающие
164,278,2,12.71,3,2,1,321,Засыпающие
1008,356,1,12.91,2,1,1,211,Засыпающие
2159,276,1,12.94,3,1,1,311,Засыпающие
4179,385,1,13.17,1,1,1,111,Потерянные
4603,224,1,13.34,3,1,1,311,Засыпающие
3277,97,1,13.36,5,1,1,511,Новички
4626,252,1,13.69,3,1,1,311,Засыпающие
471,24,1,13.7,5,1,1,511,Новички
475,416,1,13.74,1,1,1,111,Потерянные
4955,99,1,13.82,5,1,1,511,Новички
1106,61,1,14.04,5,1,1,511,Новички
3914,632,1,14.1,1,1,1,111,Потерянные
3624,382,1,14.21,1,1,1,111,Потерянные
3663,462,1,14.25,1,1,1,111,Потерянные
3121,139,1,14.4,5,1,1,511,Новички
2964,468,1,14.47,1,1,1,111,Потерянные
1491,106,1,14.51,5,1,1,511,Новички
1374,241,1,14.6,3,1,1,311,Засыпающие
1410,308,1,14.76,2,1,1,211,Засыпающие
240,158,1,14.79,4,1,1,411,Обычные клиенты
4950,253,1,14.81,3,1,1,311,Засыпающие
3989,391,1,14.96,1,1,1,111,Потерянные
1903,231,1,14.99,3,1,1,311,Засыпающие
3990,347,2,15.06,2,2,1,221,Засыпающие
4165,455,1,15.13,1,1,1,111,Потерянные
1699,274,1,15.18,3,1,1,311,Засыпающие
1818,623,1,15.22,1,1,1,111,Потерянные
3360,331,1,15.38,2,1,1,211,Засыпающие
4443,482,1,15.41,1,1,1,111,Потерянные
4595,131,1,15.44,5,1,1,511,Новички
1595,132,1,15.44,5,1,1,511,Новички
3717,186,1,15.6,4,1,1,411,Обычные клиенты
1727,501,1,15.86,1,1,1,111,Потерянные
1042,208,1,16.11,4,1,1,411,Обычные клиенты
976,388,1,16.19,1,1,1,111,Потерянные
1747,571,1,16.28,1,1,1,111,Потерянные
4781,478,1,16.44,1,1,1,111,Потерянные
1021,365,1,16.64,2,1,1,211,Засыпающие
3705,301,2,16.69,2,2,1,221,Засыпающие
3803,246,1,16.7,3,1,1,311,Засыпающие
3310,133,2,16.72,5,2,1,521,Потенциальные лоялисты
4742,435,1,16.76,1,1,1,111,Потерянные
227,528,1,16.83,1,1,1,111,Потерянные
1426,290,1,16.83,3,1,1,311,Засыпающие
359,416,1,16.88,1,1,1,111,Потерянные
301,369,1,16.9,2,1,1,211,Засыпающие
3243,384,1,17.19,1,1,1,111,Потерянные
3198,100,1,17.57,5,1,1,511,Новички
136,337,1,17.6,2,1,1,211,Засыпающие
1364,295,1,17.79,3,1,1,311,Засыпающие
667,231,1,17.95,3,1,1,311,Засыпающие
226,221,1,18.03,3,1,1,311,Засыпающие
2150,382,1,18.32,1,1,1,111,Потерянные
4496,371,1,18.47,2,1,1,211,Засыпающие
1378,242,1,18.5,3,1,1,311,Засыпающие
2178,464,1,18.51,1,1,1,111,Потерянные
1970,229,1,18.53,3,1,1,311,Засыпающие
3133,239,1,18.55,3,1,1,311,Засыпающие
3778,279,1,19.05,3,1,1,311,Засыпающие
3512,325,1,19.1,2,1,1,211,Засыпающие
